season,episode_number,image_url,title,airdate,rating,total_votes,desc,total_viewers,series_avg,season_expanded,episode_expanded,ep_name_expanded
1,1,https://m.media-amazon.com/images/M/MV5BMmVhODQ1NmUtMzJiYi00MGNiLWExNmQtYmUxNGJmY2U5ZmJlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Winter Is Coming,18 Apr. 2011,8.9,51300,Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.,2.22,9.2,Season 1,S1-E1,Winter Is Coming (S1-E1)
1,2,https://m.media-amazon.com/images/M/MV5BYzhhOTkzOGQtZTI3Zi00NzkyLWIyOWItZmYxYWYyMTRlNzI1XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Kingsroad,25 Apr. 2011,8.6,38774,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them.",2.2,9.2,Season 1,S1-E2,The Kingsroad (S1-E2)
1,3,https://m.media-amazon.com/images/M/MV5BZjcwNzEyNjYtYWJiOC00NGJhLWFlNzctYmMwNTgwNzJlYjUxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Lord Snow,2 May 2011,8.5,36680,Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.,2.44,9.2,Season 1,S1-E3,Lord Snow (S1-E3)
1,4,https://m.media-amazon.com/images/M/MV5BMDc0ZTY1MjctOTFiOS00NTY3LWEzZWYtZGMxN2MxODFhNGEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,"Cripples, Bastards, and Broken Things",9 May 2011,8.6,34891,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch.",2.45,9.2,Season 1,S1-E4,"Cripples, Bastards, and Broken Things (S1-E4)"
1,5,https://m.media-amazon.com/images/M/MV5BZDA2ZTgyNGUtNTM0Zi00MTBhLTk0NmMtN2Q0YzVhODQ2MDhlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Wolf and the Lion,16 May 2011,9.0,36262,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits.",2.58,9.2,Season 1,S1-E5,The Wolf and the Lion (S1-E5)
1,6,https://m.media-amazon.com/images/M/MV5BOWU1NzMxMTQtY2IzNy00NGRmLTk3MmYtNGVhNTY5MzYyNTEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,A Golden Crown,23 May 2011,9.1,35856,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo.",2.44,9.2,Season 1,S1-E6,A Golden Crown (S1-E6)
1,7,https://m.media-amazon.com/images/M/MV5BNDJjODBhMTctMzUxMC00MzUwLTk2YzQtMDAzNGJjMzY3MjM0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,You Win or You Die,30 May 2011,9.1,36367,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms.",2.4,9.2,Season 1,S1-E7,You Win or You Die (S1-E7)
1,8,https://m.media-amazon.com/images/M/MV5BYTA3YmMzZmQtZmNkOC00NTkyLWFiY2YtMWVmODI2NjRhZmFjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Pointy End,6 Jun. 2011,8.9,34037,The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.,2.72,9.2,Season 1,S1-E8,The Pointy End (S1-E8)
1,9,https://m.media-amazon.com/images/M/MV5BODlhNzg5ZmYtYWI2Ni00ZjJlLTk4ODItYWMzZmI3Y2MzMmIzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Baelor,13 Jun. 2011,9.6,47566,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.,2.66,9.2,Season 1,S1-E9,Baelor (S1-E9)
2,1,https://m.media-amazon.com/images/M/MV5BZGIyOWFkNDktZWUxZS00YzdkLWJmMGQtOTE1YjBmMzE2ZTlkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The North Remembers,2 Apr. 2012,8.6,32476,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.,3.86,9.2,Season 2,S2-E1,The North Remembers (S2-E1)
2,2,https://m.media-amazon.com/images/M/MV5BN2NiOGE2N2UtOTllOS00NGM3LTg4MzQtMmZkNmEyN2EyZGQ4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Night Lands,9 Apr. 2012,8.4,30754,"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret.",3.76,9.2,Season 2,S2-E2,The Night Lands (S2-E2)
