season,episode_number,image_url,title,airdate,rating,total_votes,desc
1,1,https://m.media-amazon.com/images/M/MV5BMmVhODQ1NmUtMzJiYi00MGNiLWExNmQtYmUxNGJmY2U5ZmJlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Winter Is Coming,18 Apr. 2011,8.9,51300,Eddard Stark is torn between his family and an old friend when asked to serve at the side of King Robert Baratheon; Viserys plans to wed his sister to a nomadic warlord in exchange for an army.
1,2,https://m.media-amazon.com/images/M/MV5BYzhhOTkzOGQtZTI3Zi00NzkyLWIyOWItZmYxYWYyMTRlNzI1XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Kingsroad,25 Apr. 2011,8.6,38774,"While Bran recovers from his fall, Ned takes only his daughters to King's Landing. Jon Snow goes with his uncle Benjen to the Wall. Tyrion joins them."
1,3,https://m.media-amazon.com/images/M/MV5BZjcwNzEyNjYtYWJiOC00NGJhLWFlNzctYmMwNTgwNzJlYjUxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Lord Snow,2 May 2011,8.5,36680,Jon begins his training with the Night's Watch; Ned confronts his past and future at King's Landing; Daenerys finds herself at odds with Viserys.
1,4,https://m.media-amazon.com/images/M/MV5BMDc0ZTY1MjctOTFiOS00NTY3LWEzZWYtZGMxN2MxODFhNGEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,"Cripples, Bastards, and Broken Things",9 May 2011,8.6,34891,"Eddard investigates Jon Arryn's murder. Jon befriends Samwell Tarly, a coward who has come to join the Night's Watch."
1,5,https://m.media-amazon.com/images/M/MV5BZDA2ZTgyNGUtNTM0Zi00MTBhLTk0NmMtN2Q0YzVhODQ2MDhlXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Wolf and the Lion,16 May 2011,9.0,36262,"Catelyn has captured Tyrion and plans to bring him to her sister, Lysa Arryn, at the Vale, to be tried for his, supposed, crimes against Bran. Robert plans to have Daenerys killed, but Eddard refuses to be a part of it and quits."
1,6,https://m.media-amazon.com/images/M/MV5BOWU1NzMxMTQtY2IzNy00NGRmLTk3MmYtNGVhNTY5MzYyNTEzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,A Golden Crown,23 May 2011,9.1,35856,"While recovering from his battle with Jaime, Eddard is forced to run the kingdom while Robert goes hunting. Tyrion demands a trial by combat for his freedom. Viserys is losing his patience with Drogo."
1,7,https://m.media-amazon.com/images/M/MV5BNDJjODBhMTctMzUxMC00MzUwLTk2YzQtMDAzNGJjMzY3MjM0XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,You Win or You Die,30 May 2011,9.1,36367,"Robert has been injured while hunting and is dying. Jon and the others finally take their vows to the Night's Watch. A man, sent by Robert, is captured for trying to poison Daenerys. Furious, Drogo vows to attack the Seven Kingdoms."
1,8,https://m.media-amazon.com/images/M/MV5BYTA3YmMzZmQtZmNkOC00NTkyLWFiY2YtMWVmODI2NjRhZmFjXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Pointy End,6 Jun. 2011,8.9,34037,The Lannisters press their advantage over the Starks; Robb rallies his father's northern allies and heads south to war; The White Walkers attack the Wall; Tyrion returns to his father with some new friends.
1,9,https://m.media-amazon.com/images/M/MV5BODlhNzg5ZmYtYWI2Ni00ZjJlLTk4ODItYWMzZmI3Y2MzMmIzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Baelor,13 Jun. 2011,9.6,47566,Robb goes to war against the Lannisters. Jon finds himself struggling on deciding if his place is with Robb or the Night's Watch. Drogo has fallen ill from a fresh battle wound. Daenerys is desperate to save him.
1,10,https://m.media-amazon.com/images/M/MV5BNDY5ODdkNzEtMzY0Yi00MTIzLWE3YzQtYzE0M2IzMjY4OThhXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Fire and Blood,20 Jun. 2011,9.4,41775,Robb vows to get revenge on the Lannisters. Jon must officially decide if his place is with Robb or the Night's Watch. Daenerys says her final goodbye to Drogo.
2,1,https://m.media-amazon.com/images/M/MV5BZGIyOWFkNDktZWUxZS00YzdkLWJmMGQtOTE1YjBmMzE2ZTlkXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The North Remembers,2 Apr. 2012,8.6,32476,Tyrion arrives at King's Landing to take his father's place as Hand of the King. Stannis Baratheon plans to take the Iron Throne for his own. Robb tries to decide his next move in the war. The Night's Watch arrive at the house of Craster.
2,2,https://m.media-amazon.com/images/M/MV5BN2NiOGE2N2UtOTllOS00NGM3LTg4MzQtMmZkNmEyN2EyZGQ4XkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Night Lands,9 Apr. 2012,8.4,30754,"Arya makes friends with Gendry. Tyrion tries to take control of the Small Council. Theon arrives at his home, Pyke, in order to persuade his father into helping Robb with the war. Jon tries to investigate Craster's secret."
2,3,https://m.media-amazon.com/images/M/MV5BNGQ5MGM2NzEtYzI5My00OTFlLTllMWMtNDFjZGFhYzM3YzUyXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,What Is Dead May Never Die,16 Apr. 2012,8.7,30420,Tyrion tries to see who he can trust in the Small Council. Catelyn visits Renly to try and persuade him to join Robb in the war. Theon must decide if his loyalties lie with his own family or with Robb.
2,4,https://m.media-amazon.com/images/M/MV5BMjI4ZTk4MGEtMzc2NS00ZjY1LWExM2EtNzUxODM2ZTVjMWQzXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,Garden of Bones,23 Apr. 2012,8.6,29515,"Lord Baelish arrives at Renly's camp just before he faces off against Stannis. Daenerys and her company are welcomed into the city of Qarth. Arya, Gendry, and Hot Pie find themselves imprisoned at Harrenhal."
2,5,https://m.media-amazon.com/images/M/MV5BMWE0NjQ0MDQtM2E1Zi00MmRmLWI1NTUtNjJjMjQxMjY1Y2QxXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Ghost of Harrenhal,30 Apr. 2012,8.6,29658,"Tyrion investigates a secret weapon that King Joffrey plans to use against Stannis. Meanwhile, as a token for saving his life, Jaqen H'ghar offers to kill three people that Arya chooses."
2,6,https://m.media-amazon.com/images/M/MV5BOWU5ZGY4YjMtZWYzMi00Mjc4LThkYWEtODY1NjUxNjNlM2NmXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,The Old Gods and the New,7 May 2012,8.9,30903,"Theon seizes control of Winterfell. Jon captures a wildling, named Ygritte. The people of King's Landing begin to turn against King Joffrey. Daenerys looks to buy ships to sail for the Seven Kingdoms."
2,7,https://m.media-amazon.com/images/M/MV5BZDllN2IyYzctZmM2Yy00NGM5LWE2OTEtMTk2MDA1YzhhODJmXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_UY126_UX224_AL_.jpg,A Man Without Honor,14 May 2012,8.8,30091,Bran and Rickon have escaped Winterfell. Theon tries to hunt them down. Daenerys' dragons have been stolen. Jon travels through the wilderness with Ygritte as his prisoner. Sansa has bled and is now ready to have Joffrey's children.
